Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"10u","C1","C0805","C15850"
"10u","C2","C0805","C15850"
"10u","C3","C0805","C15850"
"10u","C4","C0805","C15850"
"10u","C5","C0805","C15850"
"10u","C6","C0805","C15850"
"10u","C7","C0805","C15850"
"10u","C8","C0805","C15850"
"10u","C9","C0805","C15850"
"10u","C10","C0805","C15850"
"100n","C11","C0603","C14663"
"10n","C12","C0603","C57112"
"10n","C13","C0603","C57112"
"10u","C14","C0805","C15850"
"10u","C15","C0805","C15850"
"10u","C16","C0805","C15850"
"10u","C17","C0805","C15850"
"10u","C18","C0805","C15850"
"10u","C19","C0805","C15850"
"10u","C20","C0805","C15850"
"10u","C21","C0805","C15850"
"10u","C22","C0805","C15850"
"10u","C23","C0805","C15850"
"100n","C24","C0603","C14663"
"10n","C25","C0603","C57112"
"10n","C26","C0603","C57112"
"100n","C27","C0603","C14663"
"10n","C28","C0603",""
"100n","C29","C0603",""
"10n","C30","C0603",""
"100n","C31","C0603",""
"1u","C32","C0603",""
"100n","C33","C0603","C14663"
"1N4148WS","D1","SOD-323","C2128"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"PSM712-LF","D6","SOT-23","C32677"
"PSM712-LF","D7","SOT-23","C32677"
"NUP2105L","D8","SOT-23",""
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"12H1500D","F3","PAD-1206-PAD","C182446"
"12H1500D","F4","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","rusefi_logo",""
"LOGO","G2","LOGO",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"M3","H1","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H2","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H3","MountingHole_3.2mm_M3_Pad_Via",""
"M3","H4","MountingHole_3.2mm_M3_Pad_Via",""
"5569-20A2","J2","Molex_Mini-Fit_Jr_5569-20A2_2x10_P4.20mm_Horizontal","C485578"
"5569-06A2","J3","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal","C293509"
"5569-08A2","J4","Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal","C490533"
"5569-18A2","J5","Molex_Mini-Fit_Jr_5569-18A2_2x09_P4.20mm_Horizontal","C240834"
"Conn_01x06","J6","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x05_Male","J7","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL",""
"USB_C_Receptacle_USB2.0","J9","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2927038"
"5569-16A2","J10","Molex_Mini-Fit_Jr_5569-16A2_2x08_P4.20mm_Horizontal","C485577"
"470R@100MHz","L1","L_0603_1608Metric",""
"470R@100MHz","L2","L_0603_1608Metric",""
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:knock/0.2","M2","knock",""
"Module:vr-discrete/0.4","M3","vr-discrete",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"Module:wbo/0.5","M5","wbo",""
"Module:mega-mcu100/0.2","M6","mega-mcu100",""
"Module:can/0.1","M7","can",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"ZXMS6005SGTA","Q1","SOT-223","C174042"
"ZXMS6005SGTA","Q2","SOT-223","C174042"
"ZXMS6005SGTA","Q3","SOT-223","C174042"
"ZXMS6005SGTA","Q4","SOT-223","C174042"
"AO3400A","Q5","SOT-23"," C20917"
"AO3400A","Q6","SOT-23"," C20917"
"ISL9V3040D3S","Q7","DPAK",""
"ISL9V3040D3S","Q8","DPAK",""
"ISL9V3040D3S","Q9","DPAK",""
"ISL9V3040D3S","Q10","DPAK",""
"ISL9V3040D3S","Q11","DPAK",""
"ISL9V3040D3S","Q12","DPAK",""
"ZXMS6005SGTA","Q13","SOT-223","C174042"
"ZXMS6005SGTA","Q14","SOT-223","C174042"
"ZXMS6005SGTA","Q15","SOT-223","C174042"
"ZXMS6005SGTA","Q16","SOT-223","C174042"
"ZXMS6005SGTA","Q17","SOT-223","C174042"
"ZXMS6005SGTA","Q18","SOT-223","C174042"
"4.7k","R1","R0603","C23162"
"33k","R2","R0603","C4216"
"6.8k","R3","R0603","C23212"
"DNP","R4","R2512",""
"0","R5","R0603",""
"0","R6","R0603","C21189"
"5.6k","R7","R0603","C23189"
"5.6k","R8","R0603","C23189"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
"4.7k","R11","R0603","C23162"
"4.7k","R12","R0603","C23162"
"4.7k","R13","R0603","C23162"
"4.7k","R14","R0603","C23162"
"4.7k","R15","R0603","C23162"
"4.7k","R16","R0603","C23162"
"22","R17","R0603","C23345"
"22","R18","R0603","C23345"
"22","R19","R0603","C23345"
"0","R20","R2512","C25469"
"0","R21","R2512","C25469"
"0","R22","R2512","C25469"
"22","R23","R0603","C23345"
"22","R24","R0603","C23345"
"22","R25","R0603","C23345"
"0","R26","R2512","C25469"
"0","R27","R2512","C25469"
"0","R28","R2512","C25469"
"4.7k","R29","R0603","C23162"
"4.7k","R30","R0603","C23162"
"4.7k","R31","R0603","C23162"
"4.7k","R32","R0603","C23162"
"4.7k","R33","R0603","C23162"
"4.7k","R34","R0603","C23162"
"TLE9201SG","U1","Infineon_PG-DSO-12-11","C112633"
"TLE9201SG","U2","Infineon_PG-DSO-12-11","C112633"
"MPX4/MPXH6400_MAP","U3","MPX-4_MAP",""
"MAX31855KASA","U4","SO8",""
"JDY-33","U5","JDY-33",""
