Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,92.0mm,25.500000mm,Bottom,90.0,92.0mm,25.500000mm
C1,4.125mm,18.960000mm,Bottom,-90.0,4.125mm,18.960000mm
C2,6.125mm,18.960000mm,Bottom,-90.0,6.125mm,18.960000mm
C3,8.125mm,18.960000mm,Bottom,-90.0,8.125mm,18.960000mm
C4,10.125mm,18.960000mm,Bottom,-90.0,10.125mm,18.960000mm
C5,12.125mm,18.960000mm,Bottom,-90.0,12.125mm,18.960000mm
C6,4.125mm,14.960000mm,Bottom,90.0,4.125mm,14.960000mm
C7,6.125mm,14.960000mm,Bottom,90.0,6.125mm,14.960000mm
C8,8.125mm,14.960000mm,Bottom,90.0,8.125mm,14.960000mm
C9,10.125mm,14.960000mm,Bottom,90.0,10.125mm,14.960000mm
C10,12.125mm,14.960000mm,Bottom,90.0,12.125mm,14.960000mm
C14,10.6mm,9.500000mm,Bottom,-90.0,10.6mm,9.500000mm
C15,12.6mm,9.500000mm,Bottom,-90.0,12.6mm,9.500000mm
C16,14.6mm,9.500000mm,Bottom,-90.0,14.6mm,9.500000mm
C17,16.6mm,9.500000mm,Bottom,-90.0,16.6mm,9.500000mm
C18,18.6mm,9.500000mm,Bottom,-90.0,18.6mm,9.500000mm
C19,10.6mm,5.500000mm,Bottom,90.0,10.6mm,5.500000mm
C20,12.6mm,5.500000mm,Bottom,90.0,12.6mm,5.500000mm
C21,14.6mm,5.500000mm,Bottom,90.0,14.6mm,5.500000mm
C22,16.6mm,5.500000mm,Bottom,90.0,16.6mm,5.500000mm
C23,18.6mm,5.500000mm,Bottom,90.0,18.6mm,5.500000mm
C29,56.88mm,75.800000mm,Bottom,180.0,56.88mm,75.800000mm
C33,97.0mm,34.000000mm,Bottom,-90.0,97.0mm,34.000000mm
D1,88.0mm,16.000000mm,Bottom,0.0,88.0mm,16.000000mm
D2,19.0mm,70.500000mm,Bottom,90.0,19.0mm,70.500000mm
D4,19.0mm,78.000000mm,Bottom,90.0,19.0mm,78.000000mm
D6,5.5mm,79.500000mm,Bottom,90.0,5.5mm,79.500000mm
D7,6.0mm,75.600000mm,Bottom,180.0,6.0mm,75.600000mm
D8,56.88mm,72.800000mm,Bottom,90.0,56.88mm,72.800000mm
Q1,26.0mm,70.000000mm,Bottom,180.0,26.0mm,70.000000mm
Q3,26.0mm,77.500000mm,Bottom,180.0,26.0mm,77.500000mm
Q5,5.5mm,83.600000mm,Bottom,90.0,5.5mm,83.600000mm
Q6,2.0mm,75.600000mm,Bottom,180.0,2.0mm,75.600000mm
Q13,3.5mm,69.100000mm,Bottom,270.0,3.5mm,69.100000mm
Q14,34.5mm,37.500000mm,Bottom,270.0,34.5mm,37.500000mm
Q15,3.5mm,60.100000mm,Bottom,270.0,3.5mm,60.100000mm
Q18,3.5mm,51.100000mm,Bottom,270.0,3.5mm,51.100000mm
R1,38.094997mm,79.925000mm,Bottom,0.0,38.094997mm,79.925000mm
R2,16.0mm,21.000000mm,Bottom,90.0,16.0mm,21.000000mm
R3,16.0mm,18.000000mm,Bottom,90.0,16.0mm,18.000000mm
R7,49.0mm,4.378318mm,Bottom,90.0,49.0mm,4.378318mm
R8,51.5mm,4.378318mm,Bottom,90.0,51.5mm,4.378318mm
R10,19.5mm,67.000000mm,Bottom,0.0,19.5mm,67.000000mm
R12,19.0mm,74.500000mm,Bottom,0.0,19.0mm,74.500000mm
R15,6.7mm,87.200000mm,Bottom,90.0,6.7mm,87.200000mm
R16,4.2mm,87.200000mm,Bottom,90.0,4.2mm,87.200000mm
R17,27.225mm,62.475000mm,Bottom,180.0,27.225mm,62.475000mm
R18,27.225mm,55.475000mm,Bottom,180.0,27.225mm,55.475000mm
R19,27.225mm,48.475000mm,Bottom,180.0,27.225mm,48.475000mm
R20,21.6875mm,62.475000mm,Bottom,180.0,21.6875mm,62.475000mm
R21,21.6875mm,55.475000mm,Bottom,180.0,21.6875mm,55.475000mm
R22,21.6875mm,48.475000mm,Bottom,180.0,21.6875mm,48.475000mm
R23,27.225mm,41.475000mm,Bottom,180.0,27.225mm,41.475000mm
R24,27.225mm,34.475000mm,Bottom,180.0,27.225mm,34.475000mm
R25,27.225mm,27.475000mm,Bottom,180.0,27.225mm,27.475000mm
R26,21.6875mm,41.475000mm,Bottom,180.0,21.6875mm,41.475000mm
R27,21.6875mm,34.475000mm,Bottom,180.0,21.6875mm,34.475000mm
R28,21.6875mm,27.475000mm,Bottom,180.0,21.6875mm,27.475000mm
R29,0.9mm,41.800000mm,Bottom,90.0,0.9mm,41.800000mm
R30,36.5mm,31.000000mm,Bottom,90.0,36.5mm,31.000000mm
R31,3.4mm,41.800000mm,Bottom,90.0,3.4mm,41.800000mm
R32,32.0mm,31.000000mm,Bottom,90.0,32.0mm,31.000000mm
R33,32.0mm,28.000000mm,Bottom,-90.0,32.0mm,28.000000mm
R34,5.9mm,41.800000mm,Bottom,90.0,5.9mm,41.800000mm
C11,1.125000mm,17.290001mm,Top,-90.0,1.125000mm,17.290001mm
C12,1.125000mm,13.790001mm,Top,90.0,1.125000mm,13.790001mm
C13,17.125000mm,14.960000mm,Top,-90.0,17.125000mm,14.960000mm
C24,7.600000mm,9.000000mm,Top,-90.0,7.600000mm,9.000000mm
C25,7.600000mm,5.500000mm,Top,90.0,7.600000mm,5.500000mm
C26,23.600000mm,5.500000mm,Top,-90.0,23.600000mm,5.500000mm
C27,56.400000mm,65.200000mm,Top,-90.0,56.400000mm,65.200000mm
C28,59.380000mm,79.025000mm,Top,90.0,59.380000mm,79.025000mm
C30,54.380000mm,79.025000mm,Top,90.0,54.380000mm,79.025000mm
C31,52.880000mm,76.237500mm,Top,90.0,52.880000mm,76.237500mm
C32,52.880000mm,73.737500mm,Top,-90.0,52.880000mm,73.737500mm
