Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"10u","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23","C0805","C15850"
"100n","C11, C24, C27, C29, C31, C33, C772","C0603","C14663"
"10n","C12, C13, C25, C26, C28, C30","C0603","C57112"
"1u","C32","C0603","C15849"
"1N4148WS","D1, D410, D412, D413, D414","SOD-323","C2128"
"B5819W","D2, D3, D4, D5, D416, D417, D101, D107","SOD-123","C8598"
"12H1500D","F1, F2, F3, F4","PAD-1206-PAD","C182446"
"50mA","F5, F6, F7, F8, F9, F10","Fuse_0603_1608Metric","C369141"
"Conn_01x06","J6","PinHeader_1x06_P2.54mm_Vertical","C37208"
"USB_C","J9","USB_C","C2927038"
"470R@100MHz","L1, L2","L_0603_1608Metric","C97853"
"33k","R2, R120","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"0","R6","R0603","C21189"
"5.6k","R7, R8","R0603","C23189"
"4.7k","R9, R10, R11, R12, R13, R14, R15, R16, R29, R30, R31, R32, R33, R34","R0603","C23162"
"22","R17, R18, R19, R23, R24, R25","R0603","C23345"
"0","R20, R21, R22, R26, R27, R28","R2512","C25469"
"10k","R35, R36, R37, R752, R753","R0805","C17414"
"TLE9201SG","U1, U2","Infineon_PG-DSO-12-11","C112633"
"VNLD5160TR-E","U6, U7, U8, U9, U10, U11","SO8","C377942"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470, C228","C0402","C307331"
"1u","C414, C415, C755, C758, C761, C762, C763, C765, C766, C767, C600, C607, C609, C610, C611","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426, C117","C0603","C96446"
"4.7u","C427, C616","C0603","C19666"
"10n","C428, C756, C757, C760, C764, C768, C769, C203, C202, C201, C200, C214, C215, C225, C226, C227","C0402","C15195"
"220p","C429","C0402","C1530"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R757, R762, R763, R767, R768, R604, R605, R613, R614, R618, R619, R625, R102, R107, R108, R109, R121, R127, R128, R141, R219","R0402","C25744"
"68k","R422, R760, R602, R603","R0402","C36871"
"12k","R423, R472, R754","R0402","C25752"
"4.7k","R428, R144, R202, R201, R124, R126, R132","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"LMR14020","U420","SOP8","C187824"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"100k","R471, R473, R755, R756, R758, R759, R615, R621","R0402","C25741"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"1n","C751, C135, C139, C141, C142, C211, C209, C208, C212, C213, C210, C143, C144, C145, C146","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753, C754, C759, C601, C602, C605, C608, C612, C613, C614, C615, C617, C618, C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"2.2k","R751, R122, R123, R146, R147","R0402","C25879"
"10","R761, R764, R769, R606, R110, R111, R112, R113, R114, R115, R116, R117","R0402","C25077"
