Designator,Mid X,Mid Y,Layer,Rotation
BT1,92.0mm,25.5mm,Bottom,90.0
C1,4.125mm,18.96mm,Bottom,270.0
C2,6.125mm,18.96mm,Bottom,270.0
C3,8.125mm,18.96mm,Bottom,270.0
C4,10.125mm,18.96mm,Bottom,270.0
C5,12.125mm,18.96mm,Bottom,270.0
C6,4.125mm,14.96mm,Bottom,90.0
C7,6.125mm,14.96mm,Bottom,90.0
C8,8.125mm,14.96mm,Bottom,90.0
C9,10.125mm,14.96mm,Bottom,90.0
C10,12.125mm,14.96mm,Bottom,90.0
C14,10.6mm,9.5mm,Bottom,270.0
C15,12.6mm,9.5mm,Bottom,270.0
C16,14.6mm,9.5mm,Bottom,270.0
C17,16.6mm,9.5mm,Bottom,270.0
C18,18.6mm,9.5mm,Bottom,270.0
C19,10.6mm,5.5mm,Bottom,90.0
C20,12.6mm,5.5mm,Bottom,90.0
C21,14.6mm,5.5mm,Bottom,90.0
C22,16.6mm,5.5mm,Bottom,90.0
C23,18.6mm,5.5mm,Bottom,90.0
C27,61.8mm,65.1mm,Bottom,270.0
C28,53.8mm,82.6mm,Bottom,0.0
C29,55.5mm,77.082023mm,Bottom,0.0
C30,57.190001mm,82.6mm,Bottom,180.0
C31,59.6mm,73.5mm,Bottom,90.0
C32,61.4mm,73.5mm,Bottom,90.0
C33,97.0mm,34.0mm,Bottom,270.0
D1,88.0mm,16.0mm,Bottom,0.0
D2,19.0mm,70.5mm,Bottom,90.0
D4,19.0mm,78.0mm,Bottom,90.0
D8,55.5mm,79.582023mm,Bottom,90.0
F5,30.05mm,55.4mm,Bottom,270.0
F6,30.05mm,62.4mm,Bottom,270.0
F7,30.15mm,48.4mm,Bottom,270.0
F8,30.1mm,41.45mm,Bottom,270.0
F9,30.1mm,34.45mm,Bottom,270.0
F10,83.15mm,32.45mm,Bottom,270.0
L1,56.5mm,85.0mm,Bottom,270.0
L2,54.5mm,85.0mm,Bottom,270.0
R2,16.0mm,21.0mm,Bottom,90.0
R3,16.0mm,18.0mm,Bottom,90.0
R5,56.9mm,61.8mm,Bottom,270.0
R6,77.6mm,70.8mm,Bottom,270.0
R7,49.0mm,4.378318mm,Bottom,90.0
R8,51.5mm,4.378318mm,Bottom,90.0
R12,30.3mm,76.7mm,Bottom,90.0
R13,30.3mm,73.3mm,Bottom,90.0
R15,2.5mm,89.85mm,Bottom,90.0
R16,5.05mm,89.85mm,Bottom,90.0
R17,28.5125mm,62.4mm,Bottom,90.0
R18,28.5125mm,55.4mm,Bottom,90.0
R19,28.5125mm,48.4mm,Bottom,90.0
R20,23.9mm,62.4mm,Bottom,180.0
R21,23.9mm,55.4mm,Bottom,180.0
R22,23.9mm,48.4mm,Bottom,180.0
R23,28.5125mm,41.4mm,Bottom,90.0
R24,28.5125mm,34.4mm,Bottom,90.0
R25,28.5125mm,27.4mm,Bottom,90.0
R26,23.9mm,41.4mm,Bottom,180.0
R27,23.9mm,34.4mm,Bottom,180.0
R28,23.9mm,27.4mm,Bottom,180.0
R29,4.25mm,41.8mm,Bottom,90.0
R30,36.2mm,26.15mm,Bottom,90.0
R31,2.55mm,41.8mm,Bottom,90.0
R32,33.85mm,28.4mm,Bottom,270.0
R33,32.0mm,28.0mm,Bottom,270.0
R34,5.9mm,41.8mm,Bottom,90.0
U4,55.5mm,71.8mm,Bottom,180.0
U6,4.435mm,84.275mm,Bottom,180.0
U8,25.325mm,75.595mm,Bottom,90.0
U9,3.15mm,68.2mm,Bottom,180.0
U10,3.15mm,59.45mm,Bottom,180.0
U11,3.15mm,50.9mm,Bottom,180.0
C11,1.6mm,17.3mm,Top,270.0
C12,1.6mm,14.2mm,Top,90.0
C13,16.725mm,14.96mm,Top,270.0
C24,7.6mm,9.0mm,Top,270.0
C25,7.6mm,5.5mm,Top,90.0
C26,23.6mm,5.5mm,Top,270.0
D3,19.0mm,76.5mm,Top,90.0
D5,19.0mm,69.0mm,Top,90.0
F1,22.8mm,17.0mm,Top,270.0
F2,21.0mm,22.6mm,Top,0.0
F3,20.6mm,17.0mm,Top,270.0
F4,18.4mm,17.0mm,Top,270.0
G1,89.0mm,3.5mm,Top,0.0
G2,72.0mm,5.5mm,Top,0.0
G3,39.5mm,49.96mm,Top,90.0
G4,47.12mm,49.96mm,Top,90.0
J1,88.89mm,89.225mm,Top,0.0
J2,10.6mm,90.725mm,Top,0.0
J3,90.725mm,79.2mm,Top,270.0
J4,9.275mm,25.8mm,Top,90.0
J5,9.275mm,45.2mm,Top,90.0
J6,98.15mm,37.9mm,Top,270.0
J7,83.0mm,3.0mm,Top,90.0
J8,58.375mm,4.7mm,Top,90.0
J9,50.0mm,4.0mm,Top,0.0
J10,60.3mm,90.725mm,Top,0.0
J11,80.49mm,89.225mm,Top,0.0
J12,72.09mm,89.225mm,Top,0.0
J13,63.69mm,89.225mm,Top,0.0
J14,13.99mm,89.225mm,Top,0.0
J15,22.39mm,89.225mm,Top,0.0
J16,30.79mm,89.225mm,Top,0.0
J17,39.19mm,89.225mm,Top,0.0
J18,13.315mm,77.95mm,Top,0.0
J19,13.315mm,69.55mm,Top,0.0
J20,13.315mm,61.15mm,Top,0.0
J21,13.315mm,52.75mm,Top,0.0
J22,13.315mm,37.55mm,Top,0.0
J24,89.265mm,78.35mm,Top,0.0
P1,32.0mm,57.5mm,Top,0.0
P2,34.9mm,57.5mm,Top,0.0
P3,62.5mm,2.5mm,Top,0.0
P4,62.5mm,7.5mm,Top,0.0
P7,83.2mm,24.0mm,Top,0.0
P8,83.2mm,19.3mm,Top,0.0
P15,5.54mm,11.5mm,Top,0.0
P16,8.08mm,11.5mm,Top,0.0
P17,3.0mm,11.5mm,Top,0.0
P18,23.0mm,11.0mm,Top,0.0
Q7,22.66mm,62.5mm,Top,0.0
Q8,22.66mm,55.5mm,Top,0.0
Q9,22.66mm,48.5mm,Top,0.0
Q10,22.66mm,41.5mm,Top,0.0
Q11,22.66mm,34.5mm,Top,0.0
Q12,22.66mm,27.5mm,Top,0.0
R1,34.932497mm,79.925mm,Top,180.0
R4,43.474609mm,4.569609mm,Top,270.0
R9,16.725mm,17.96mm,Top,270.0
R10,28.6mm,72.45mm,Top,180.0
R11,30.2mm,78.35mm,Top,270.0
R14,23.6mm,8.4mm,Top,270.0
R35,94.75mm,90.5mm,Top,0.0
R36,94.75mm,88.0mm,Top,0.0
R37,94.75mm,85.5mm,Top,0.0
R38,98.2mm,90.5mm,Top,0.0
R39,98.2mm,88.0mm,Top,0.0
