Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,92.0mm,25.500000mm,Bottom,90.0,92.0mm,25.500000mm
C1,4.125mm,18.960000mm,Bottom,-90.0,4.125mm,18.960000mm
C2,6.125mm,18.960000mm,Bottom,-90.0,6.125mm,18.960000mm
C3,8.125mm,18.960000mm,Bottom,-90.0,8.125mm,18.960000mm
C4,10.125mm,18.960000mm,Bottom,-90.0,10.125mm,18.960000mm
C5,12.125mm,18.960000mm,Bottom,-90.0,12.125mm,18.960000mm
C6,4.125mm,14.960000mm,Bottom,90.0,4.125mm,14.960000mm
C7,6.125mm,14.960000mm,Bottom,90.0,6.125mm,14.960000mm
C8,8.125mm,14.960000mm,Bottom,90.0,8.125mm,14.960000mm
C9,10.125mm,14.960000mm,Bottom,90.0,10.125mm,14.960000mm
C10,12.125mm,14.960000mm,Bottom,90.0,12.125mm,14.960000mm
C14,10.6mm,9.500000mm,Bottom,-90.0,10.6mm,9.500000mm
C15,12.6mm,9.500000mm,Bottom,-90.0,12.6mm,9.500000mm
C16,14.6mm,9.500000mm,Bottom,-90.0,14.6mm,9.500000mm
C17,16.6mm,9.500000mm,Bottom,-90.0,16.6mm,9.500000mm
C18,18.6mm,9.500000mm,Bottom,-90.0,18.6mm,9.500000mm
C19,10.6mm,5.500000mm,Bottom,90.0,10.6mm,5.500000mm
C20,12.6mm,5.500000mm,Bottom,90.0,12.6mm,5.500000mm
C21,14.6mm,5.500000mm,Bottom,90.0,14.6mm,5.500000mm
C22,16.6mm,5.500000mm,Bottom,90.0,16.6mm,5.500000mm
C23,18.6mm,5.500000mm,Bottom,90.0,18.6mm,5.500000mm
C27,61.8mm,65.100000mm,Bottom,-90.0,61.8mm,65.100000mm
C28,53.8mm,82.600000mm,Bottom,0.0,53.8mm,82.600000mm
C29,55.5mm,77.082023mm,Bottom,0.0,55.5mm,77.082023mm
C30,57.190001mm,82.600000mm,Bottom,180.0,57.190001mm,82.600000mm
C31,59.6mm,73.500000mm,Bottom,90.0,59.6mm,73.500000mm
C32,61.4mm,73.500000mm,Bottom,90.0,61.4mm,73.500000mm
C33,97.0mm,34.000000mm,Bottom,-90.0,97.0mm,34.000000mm
D1,88.0mm,16.000000mm,Bottom,0.0,88.0mm,16.000000mm
D2,19.0mm,70.500000mm,Bottom,90.0,19.0mm,70.500000mm
D4,19.0mm,78.000000mm,Bottom,90.0,19.0mm,78.000000mm
D8,55.5mm,79.582023mm,Bottom,90.0,55.5mm,79.582023mm
F5,30.05mm,55.400000mm,Bottom,-90.0,30.05mm,55.400000mm
F6,30.05mm,62.400000mm,Bottom,-90.0,30.05mm,62.400000mm
F7,30.15mm,48.400000mm,Bottom,-90.0,30.15mm,48.400000mm
F8,30.1mm,41.450000mm,Bottom,-90.0,30.1mm,41.450000mm
F9,30.1mm,34.450000mm,Bottom,-90.0,30.1mm,34.450000mm
F10,83.15mm,32.450000mm,Bottom,-90.0,83.15mm,32.450000mm
L1,56.5mm,85.000000mm,Bottom,-90.0,56.5mm,85.000000mm
L2,54.5mm,85.000000mm,Bottom,-90.0,54.5mm,85.000000mm
R2,16.0mm,21.000000mm,Bottom,90.0,16.0mm,21.000000mm
R3,16.0mm,18.000000mm,Bottom,90.0,16.0mm,18.000000mm
R5,56.9mm,61.800000mm,Bottom,-90.0,56.9mm,61.800000mm
R6,77.6mm,70.800000mm,Bottom,-90.0,77.6mm,70.800000mm
R7,49.0mm,4.378318mm,Bottom,90.0,49.0mm,4.378318mm
R8,51.5mm,4.378318mm,Bottom,90.0,51.5mm,4.378318mm
R12,30.3mm,76.700000mm,Bottom,90.0,30.3mm,76.700000mm
R13,30.3mm,73.300000mm,Bottom,90.0,30.3mm,73.300000mm
R15,2.5mm,89.850000mm,Bottom,90.0,2.5mm,89.850000mm
R16,5.05mm,89.850000mm,Bottom,90.0,5.05mm,89.850000mm
R17,28.5125mm,62.400000mm,Bottom,90.0,28.5125mm,62.400000mm
R18,28.5125mm,55.400000mm,Bottom,90.0,28.5125mm,55.400000mm
R19,28.5125mm,48.400000mm,Bottom,90.0,28.5125mm,48.400000mm
R20,23.9mm,62.400000mm,Bottom,180.0,23.9mm,62.400000mm
R21,23.9mm,55.400000mm,Bottom,180.0,23.9mm,55.400000mm
R22,23.9mm,48.400000mm,Bottom,180.0,23.9mm,48.400000mm
R23,28.5125mm,41.400000mm,Bottom,90.0,28.5125mm,41.400000mm
R24,28.5125mm,34.400000mm,Bottom,90.0,28.5125mm,34.400000mm
R25,28.5125mm,27.400000mm,Bottom,90.0,28.5125mm,27.400000mm
R26,23.9mm,41.400000mm,Bottom,180.0,23.9mm,41.400000mm
R27,23.9mm,34.400000mm,Bottom,180.0,23.9mm,34.400000mm
R28,23.9mm,27.400000mm,Bottom,180.0,23.9mm,27.400000mm
R29,4.25mm,41.800000mm,Bottom,90.0,4.25mm,41.800000mm
R30,36.2mm,26.150000mm,Bottom,90.0,36.2mm,26.150000mm
R31,2.55mm,41.800000mm,Bottom,90.0,2.55mm,41.800000mm
R32,33.85mm,28.400000mm,Bottom,-90.0,33.85mm,28.400000mm
R33,32.0mm,28.000000mm,Bottom,-90.0,32.0mm,28.000000mm
R34,5.9mm,41.800000mm,Bottom,90.0,5.9mm,41.800000mm
U4,55.5mm,71.800000mm,Bottom,180.0,55.5mm,71.800000mm
U6,4.435mm,84.275000mm,Bottom,180.0,4.435mm,84.275000mm
U8,25.325mm,75.595000mm,Bottom,90.0,25.325mm,75.595000mm
U9,3.15mm,68.200000mm,Bottom,180.0,3.15mm,68.200000mm
U10,3.15mm,59.450000mm,Bottom,180.0,3.15mm,59.450000mm
U11,3.15mm,50.900000mm,Bottom,180.0,3.15mm,50.900000mm
C11,1.600000mm,17.300000mm,Top,-90.0,1.600000mm,17.300000mm
