#CRANK BUTTON1: UP 680k 1n
R222,"680k","R0402","C163456"
R226,
C211,"1n","C0402","C1523"

#CAM BUTTON2: UP 680k 1n
R220,"680k","R0402","C163456"
R224,
C209,"1n","C0402","C1523"

#VSS FLEX: UP 10k 1n
R219,"10k","R0402","C25744"
R223,
C208,"1n","C0402","C1523"

#TPS TPS1: DOWN 680k 10n
R204,
R208,"680k","R0402","C163456"
C203,"10n","C0402","C15195"

#PPS PPS1: DOWN 680k 10n
R203,
R207,"680k","R0402","C163456"
C202,"10n","C0402","C15195"

#IAT IAT: UP 4.7k 10n
R202,"4.7k","R0402","C25900"
R206,
C201,"10n","C0402","C15195"

#CLT CLT: UP 4.7k 10n
R201,"4.7k","R0402","C25900"
R205,
C200,"10n","C0402","C15195"

#O2S AUX1: DOWN 680k 10n
R230,
R234,"680k","R0402","C163456"
C214,"10n","C0402","C15195"

#O2S2 AUX2: DOWN 680k 10n
R231,
R235,"680k","R0402","C163456"
C215,"10n","C0402","C15195"

#MAP1 MAP: DOWN 680k 1n
R228,
R232,"680k","R0402","C163456"
C212,"1n","C0402","C1523"

#MAP2 INTERNAL_MAP: DOWN 680k 1n
R229,
R233,"680k","R0402","C163456"
C213,"1n","C0402","C1523"

#AUX1 TPS2: DOWN 680k 10n
R246,
R250,"680k","R0402","C163456"
C225,"10n","C0402","C15195"

#AUX2 PPS2: DOWN 680k 10n
R247,
R251,"680k","R0402","C163456"
C226,"10n","C0402","C15195"

#AUX3 AUX3: DOWN 680k 10n
R248,
R252,"680k","R0402","C163456"
C227,"10n","C0402","C15195"

#AUX4 VMAIN: DOWN DNP 100n
R249,
R253,
C228,"100n","C0402","C307331"

#KNOCK KNOCK: DOWN 680k 1n
R221,
R225,"680k","R0402","C163456"
C210,"1n","C0402","C1523"

#D1 HALL1: UP 4.7k 1n
R124,"4.7k","R0402","C25900"
R136,
C143,"1n","C0402","C1523"

#D2 HALL2: UP 4.7k 1n
R126,"4.7k","R0402","C25900"
R137,
C144,"1n","C0402","C1523"

#D3 HALL3: UP 4.7k 1n
R132,"4.7k","R0402","C25900"
R138,
C145,"1n","C0402","C1523"

#D4 BUTTON3: UP 680k 1n
R135,"680k","R0402","C163456"
R139,
C146,"1n","C0402","C1523"

